ventil;ventyl
textil;textyl
dilema;dylema
flotila;flotyla
detilát;destylát
vanilka;vanylka
projektil;projektyl
antilopa;antylopa
attila;attyla
cadillac;kadylak
dilatační;dylatační
volatilní;valatylní
diletant;dyletant
senilní;senylní
nil;nyl
tilda;tylda
juvenilní;juvenynlní
politik;polityk
technik;technyk
unikátní;unykátní
diktátor;dyktátor
komunikace;komunykace
kritik;krityk
politiky;polityky
techniky;technyky
politice;polityce
politiku;polityku
politika;polityka
veronika;veronyka
technika;technyka
techniku;technyku
monika;monyka
statistiky;statystyky
technikou;technykou
statistik;statystyk
pneumatiky;pneumatyky
kritiku;krityku
kliniky;klinyky
problematiku;problematyku
kritiky;krityky
kritika;krityka
problematice;problematyce
atletika;atletyka
pneumatik;pneumatyk
politikou;politykou
energetiky;energetyky
taktiku;taktyku
kritice;krityce
plastiky;plastyky
technice;technyce
matematiky;matematyky
statistika;statystyka
tematikou;tematykou
cyklistika;cyklistyka
praktiky;praktyky
elektroniky;elektronyky
klinice;klinyce
kroniky;kronyky
turistiky;turistyky
problematiky;problematyky
problematika;problematyka
energetika;energetyka
taktika;taktyka
problematikou;problematykou
kronika;kronyka
informatiky;informatyky
kritikou;kritykou
elektroniku;elektronyku
polikliniky;poliklinyky
technik;technyk
dominika;dominyka
turistika;turistyka
matematika;matematyka
veroniko;veronyko
dramatice;dramatyce
kritikách;kritykách
diakritikou;dyakritykou
elektroenergetiku;elektroenergetyku
sebekritikou;sebekritykou
politikami;politykami
agrotechnice;agrotechnyce
floristiky;floristyky
svastiky;svastyky
štice;štyce
politikách;politykách
sémantiky;sémantyky
kritikami;kritykami
nikách;nykách
ekvilibristika;ekvilibristyka
eurydika;eurydyka
tunice;tunyce
urbanistiky;urbanystyky
agrotechniku;agrotechnyku
poliklinikách;poliklinykách
ekvilibristiku;ekvilibristyku
automatice;automatyce
psychosomatiky;psychosomatyky
sebekritice;sebekrityce
geoinformatiky;geoinformatyky
mikroelektroniky;mikroelektronyky
mikroelektronika;mikroelektronyka
elektrotechnikou;elektrotechnykou
informatikou;informatykou
religionistiku;religionystyku
stylistiky;stylistyky
floristika;floristyka
agritechnice;agritechnyce
didaktiku;dydaktyku
hektika;hektyka
scenáristika;scenáristyka
pranostiku;pranostyku
